FRASE,,OBJ/SUBJ,POLARIDADE
"Os dois se mudam para uma casa com fama de má assombrada em Faetherbank, no interior e descobrem às duras penas que a residência possui relação com crimes macabros na cidade.",,objetiva,neutra
"Conta a historia de cada uma de seus momentos marcantes de tim tim por tim fala de os conflitos de uma amizade, de a tristeza quando acontece algo com alguma amiga ...",,objetiva,neutra
Vamos sonhar juntos traz uma análise do que esta crise pode nos ensinar sobre a maneira como lidamos com turbulências de qualquer tipo em nossas vidas e no mundo. ,,objetiva,neutra
"Ainda arrasado após a perda da esposa, Tom Kennedy se muda com o filho Jake para o pacato vilarejo de Featherbank, em busca de um recomeço mais do que necessário.",,objetiva,neutra
"Vinte anos antes, um pervertido assassino em série sequestrou e matou cinco meninos.",,objetiva,neutra
"Nesse livro se desenrola uma história onde o próprio assassino se torna vitima de seu plano, mas não porque tenha dado errado, mas pelo contrario, deu tão certo que quando ele quis contar a verdade ninguém, mas ninguém mesmo, acreditava nele.",,objetiva,neutra
"O livro em si trata de forma intensa a vida de um portador de transtorno mental, nos alerta quanto as maneiras de lidar com pessoas que passam por isso.",,objetiva,neutra
" Conheça sua trajetória desde a infância como escravo em Tatooine junto à mãe; o treinamento como Padawan para se transformar no Jedi escolhido para derrotar a Força e, por fim, como se deu a transição para o Lado Sombrio a fim de salvar seus entes queridos.",,objetiva,neutra
"O livro é um compilado de 10 contos peculiares (sério?) feito pelo estudioso de peculiaridades Millard Nullings, e retrata o folclore das crianças.",,objetiva,neutra
"Abordando técnicas que vão da psicanálise à meditação, o livro é um guia rápido para a transformação pessoal.",,objetiva,neutra
"O livro mostra basicamente três coisas que Hemingway mais gostava. Bebida, boemia e a força da natureza contra o homem.",,objetiva,neutra
"No início dos anos 1900, a adolescente Sunja, filha adorada de um pescador aleijado, apaixona-se perdidamente por um rico forasteiro na costa perto de sua casa, na Coreia.",,objetiva,neutra
"O país e o povo vivem em torpor, um torpor causado pela fome, pela falta de esperança, pela proximidade com a morte.",,objetiva,neutra
"Um ônibus incendiado em uma estrada poeirenta serve de abrigo ao velho Tuahir e ao menino Muidinga, em fuga da guerra civil que grassa por toda parte em Moçambique. ",,objetiva,neutra
"O marido de Verity, Jeremy Crawford, e Lowen combinam da mulher passar um tempo na casa deles para analisar todo o material de Verity.",,objetiva,neutra
"Um livro que explicita com detalhes as consequências de uma guerra, com mistura da cultura africana e o realismo mágico.",,objetiva,neutra
"E nessas história a quantidade de temas é grande: racismo, abandono, violência, colonização, sexualidade, identidade nacional etc.",,objetiva,neutra
"No meio do material sobre os livros, Lowen encontra um manuscrito que descobre ser uma autobiografia da mulher.",,objetiva,neutra
O enredo mostra o conflito dos personagens entre os meios e os fins para solucionar o problema de superpopulação do planeta.,,objetiva,neutra
"Inferno remete claramente à obra Divina Comédia do artista Dante Alighieri e seus desdobramentos, onde a pessoa que comete pecados deve sofrer muito para ter a chance de chegar ao Paraíso.",,objetiva,neutra
O livro também aborda a superpopulação como um problema de saúde pública.,,objetiva,neutra
A capa contém tons acinzentados com a imagem de Dante e possui dois gráficos.,,objetiva,neutra
"O livro foi adaptado para o cinema, mas com alterações, como sempre.",,objetiva,neutra
"O conto se passa no interior de Minas, existindo farta nomeação de lugares e regiões.",,objetiva,neutra
"Cansados em razão de sua longa vida de trabalho no campo, os irmãos Matthew e Marilla Cuthbert pretendiam adotar um garoto que os ajudasse com os trabalhos braçais de sua fazenda em Green Gables, no Canadá.",,objetiva,neutra
"O Partido utiliza das seguintes ferramentas para controlar a população: a teletela, uma fusão de televisão, câmera e escuta para espionagem.",,objetiva,neutra
"Considerado um clássico da literatura infantojuvenil, o sucesso mundial de Anne de Green Gables inspirou diversas adaptações para televisão, teatro e cinemas.",,objetiva,neutra
"Vivendo em uma sociedade distópica, Winston, o herói da história, vive uma vida de medo e sofrimento.",,objetiva,neutra
"Tudo é controlado minuciosamente pelo partido e tudo é vigiado pelo grande irmão, que é o único salvador e pessoa chave da ideologia.",,objetiva,neutra
"Eles enfrentaram os mistérios mais sinistros dos últimos sessenta anos, sempre em busca da verdade.",,objetiva,neutra
"Os contos foram traduzidos das runas originais pela personagem Hermione, a partir do velho exemplar herdado por ela. São cinco histórias de fadas diferentes entre si. ",,objetiva,neutra
Após uma guerra nuclear poucos seres humanos permaneceram na Terra.,,objetiva,neutra
Boa parte da população agora vive em Marte junto a androides contruídos para trabalhar em grandes explorações espaciais.,,objetiva,neutra
Para suprir necessidades de afeto foram criadas versões mecânicas dos bichinhos de estimação.,,objetiva,neutra
"Deckard, entretanto, não tem condições financeiras para isso e por isso continua preso à Terra e se torna um caçador de androides.",,objetiva,neutra
"A primeira das histórias, “O bruxo e o caldeirão saltitante”, tem como protagonista o filho de um bruxo muito bom que, após a morte do pai, decide não ajudar os outros como o pai o fazia.",,objetiva,neutra
Bruno não suspeita que esse menino é judeu e está trancado naquele terreno com seu povo.,,objetiva,neutra
"Bruno não conta sobre o novo amigo para sua família e, à medida que os dias passam, a amizade secreta entre os dois cresce.",,objetiva,neutra
"Bruno observa por dias a cerca, e muitas perguntas se formam, ele não entende porque todos usam pijama listrado.",,objetiva,neutra
"Por conta do novo cargo do pai, a família acaba tendo que se mudar.",,objetiva,neutra
"A nova casa não agrada o menino; fica longe de Berlim e é um local muito isolado, repleto de soldados trabalhando.",,objetiva,neutra
"A narrativa é feita em terceira pessoa, porém pelos olhos de Bruno, por isso toda a simplicidade e inocência.",,objetiva,neutra
Ele confunde o nome do local de sua nova residência e entende de maneira errônea o título de Führer.,,objetiva,neutra
"“A fonte da sorte” mostra a busca de três bruxas e um cavaleiro por uma fonte, cuja água concede boa sorte a todos aqueles que nela se banharem.",,objetiva,neutra
"Norman é o racional, é quem limpa a sujeira e os protege das consequências dos atos da mãe.",,objetiva,neutra
"Quando ela está no meio da estrada a noite, começa um temporal e sua única opção é parar no motel mais próximo.",,objetiva,neutra
Matte e Liz Logelin foram namorados no colégio e começaram uma vida em Los Angeles após anos de namoro à distância.,,objetiva,neutra
"Chegando lá, ela não está e ele também não tem nenhuma notícia. Então Lily e Sam se juntam com um detetive particular e vão em busca de Mary.",,objetiva,neutra
"Norman Bates vive sozinho, tomando conta do Motel Bates numa estrada agora abandonada num local isolado.",,objetiva,neutra
"Dado o sumiço de Mary, o roubo é notado e muitas pessoas estão interessadas em encontrá-la.",,objetiva,neutra
"Um dia, Mary é encarregada pelo chefe de fazer um depósito no banco de uma grande quantidade de dinheiro.",,objetiva,neutra
"Vinte sete horas depois, Liz sofre uma embolia pulmonar e morre sem nunca poder segurar a filha nos braços.",,objetiva,neutra
"Bates se dedica apenas a cuidar do motel da família, onde sofreu uma grande queda de clientes desde que uma nova rodovia foi criada.",,objetiva,neutra
O livro conta a história de cinco homens que estão numa taverna bebendo e contando histórias.,,objetiva,neutra
"As cinco histórias possuem traços em comum, assim como os seus narradores.",,objetiva,neutra
"Ele se apaixona por uma espanhola chamada Ângela, que mata o próprio marido e a própria filha para ficar com Bertram.",,objetiva,neutra
"Os dois ficam juntos, mas depois de um tempo ela parte e ele vai para a Itália, viver aventuras no mar.",,objetiva,neutra
"A Viagem de Cilka é baseado na história real de Cilka Klein e na de tantas outras mulheres presas nos campos de concentração nazistas e, após o fim da Segunda Guerra Mundial, nos gulagui russos.",,objetiva,neutra
"A edição que li, tem 96 páginas e tem uma linguagem carregada do rebuscamento do período.",,objetiva,neutra
"Na narrativa é possível identificar a comparação entre campo e cidade, comum nas histórias do autor, assim como a relação entre a elite e a classe trabalhadora.",,objetiva,neutra
"É uma importante obra que marca a terceira fase de Queirós, mais pós-realista.",,objetiva,neutra
"Mas o núcleo da ação se desenvolve no final do século, sendo, portanto, contemporânea à publicação da obra.",,objetiva,neutra
"Ambos os personagens principais passam por muitas mudanças ao longo do enredo e tem suas ideologias/opiniões postas à prova e, por vezes, modificadas.",,objetiva,neutra
"O texto reforça que uma das maiores capacidades do ser humano, é a de poder estar errado, de errar, e depois, a de poder corrigir ou permanecer errado.",,objetiva,neutra
"Os leitores encontrarão muitos pontos em comum com religiões ou filosofias, especialmente orientais, se já tiverem tido contato.",,objetiva,neutra
"Tem capa dura, as laterias das folhas em vermelho, folhas amareladas, notas sobre as fontes, curiosidades e muitas imagens.",,objetiva,neutra
"Um livro com muitas curiosidades sobre a morte, e como ela ""vira pó"" para aquele que são cremados.",,objetiva,neutra
"Os pitiguaras, que vivem na costa cearense, são inimigos naturais dos tabajaras, que vivem mais para o interior.",,objetiva,neutra
O livro trata da relação entre as novidades e modas das grandes cidades (no livro representadas por Paris) e os prazeres simples da vida no campo (as serras de Portugal).,,objetiva,neutra
"O conto de Aia foi escrito pela canadense Margaret Atwood em 1985, mas voltou a ser um dos mais vendidos devido a série The Handmaid's Tale, que foi baseada no livro.",,objetiva,neutra
"As mudanças são bruscas e as mulheres são as mais prejudicadas pois perderam os direitos de trabalhar, de serem alfabetizadas, de votar e praticamente de serem livres.",,objetiva,neutra
"E a última casta é a das Aias, que são mulheres de vermelho, em idade fértil, usadas exclusivamente para procriar. Isso porque devido a questões desconhecidas, muitas pessoas se tornaram inférteis.",,objetiva,neutra
"Numa época em que o homem só dispunha do céu e das estrelas para se orientar, o Sextante era uma ferramenta fundamental para se atingir o destino desejado. Observando através do Sextante, o navegador se norteava, medindo a distância entre os astros e o horizonte.",,objetiva,neutra
"E as mulheres que têm mais chances de engravidar são obrigadas a terem relações sexuais com os comandantes e quando dão a luz, são obrigadas a deixarem seus filhos.",,objetiva,neutra
"A história é narrada através de uma Aia, que conta desde sua vida antes do golpe, quando ainda vivia com seu marido e filha, sobre o tempo que passou no Centro Vermelho, onde foi treinada para a vida de Aia.",,objetiva,neutra
"Por meio de descrições detalhadas das feridas e de suas respectivas máscaras, Lise Bourbeau mostra como elas podem se refletir em nossa personalidade e até mesmo no formato do nosso corpo.",,objetiva,neutra
"Se trata de uma distopia, um futuro não muito distante, onde tudo muda da noite pro dia e as mulheres são as principais vítimas.",,objetiva,neutra
"Offred um dia foi casada com Luke, com quem teve uma filha, Hanna – os quais ela não faz ideia se estão vivos ou não.",,objetiva,neutra
A região de Gilead é tomada por uma ditadura patriarcal fortemente fomentada por um aparato cristão distorcido,,objetiva,neutra
"Regida por versões exageradas e distorcidas do Velho Testamento, a sociedade está agora dividia em castas masculinas e femininas.",,objetiva,neutra
"Em 1985 o autor apresenta a vida ""atual"" dos antigos amigos do grupo de Bill Denbrough, chamado Clube dos Otários.",,objetiva,neutra
Zobrist um gênio cientista a frente do seu tempo cria um vírus que promete acabar com a superpopulação da Terra que em breve irá entrar em colapso.,,objetiva,neutra
A leitura era realizada nos intervalos do trabalho e atividades diárias fora de casa.,,objetiva,neutra
Mais uma vez Robert Langdon se viu na iminência de ter que resolver enigmas e mensagens para ajudar a encontrar algo que poderia afetar toda a humanidade.,,objetiva,neutra
"A história começa com o renomado professor universitário de simbologia da Harvard, Robert Langdon acordando dentro do hospital, um pouco desorientado e com um ferimento na cabeça causado por um tiro de raspão na parte de trás da nuca.",,objetiva,neutra
"Ao sentar na cama e observar pela janela do quarto, Robert percebeu que não estava em Massachusetts e sim, em Florença.",,objetiva,neutra
"Não lembrança de nada das últimas trinta e seis horas, não tem a menor idéia de como saiu dos Estados Unidos e chegou até a Itália e porque estava numa cama de hospital.",,objetiva,neutra
Ferido e sem saber o que fazer Robert consegue fugir do hospital com ajuda da Dra. Brooks.,,objetiva,neutra
Esse objeto era tão importante que associava Robert ao trabalho de um cientista brilhante que afirmava que a humanidade estava em risco devido ao crescimento celerado da população.,,objetiva,neutra
"A teoria do cientista é extremamente radical, condenando a Organização Mundial da Saúde e os governantes mundiais, por estarem ignorando o alerta que a natureza está mostrando e a super população mundial consumindo mais do que o normal.",,objetiva,neutra
A hora e vez de Augusto Matraga aponta para a tendência criada por Guimarães Rosa do regionalismo universalizante.,,objetiva,neutra
"O tempo da narrativa está mais voltado ao psicológico, ou seja, indeterminado.",,objetiva,neutra
"O espaço Minas Gerais, mais especificamente o Norte de Minas, destacando-se nomes de vilarejos e lugares do sertão.",,objetiva,neutra
"Fugindo da seca, vivem da exploração da terra e da exploração do patrão.",,objetiva,neutra
"Diante das dificuldades da vida, o simples fato de não saber ler e nem contar, impõem o jugo da impotência.",,objetiva,neutra
"Os personagens como Sinha Vitória(mãe), Fabiano(pai), Menino mais velho, Menino mais novo (filhos) e a Baleia (cachorra) são uma família que vivem na seca do Nordeste",,objetiva,neutra
"O Dr. Van Der Kolk mostra como o trauma reformula o funcionamento do corpo e do cérebro, comprometendo a capacidade das vítimas de ter prazer, de criar laços saudáveis, confiar nos outros e se sentirem seguras.",,objetiva,neutra
"O futuro da humanidade conta a aventura de Marco Polo – o principal personagem dos romances de Augusto Cury –, quando ainda era um jovem estudante de medicina.",,objetiva,neutra
"Em Vidas Secas, o autor mostra a família de Fabiano migrando pela necessidade de sobrevivência, saindo de sua casa antes do dia amanhecer, fugindo das dívidas, da seca e da miséria.",,objetiva,neutra
A falta de instrução das pessoas e a dificuldade que enfrentam ao se relacionar até mesmo uns com os outros pela falta de vocabulário faz o livro ter diálogos curtos e simples.,,objetiva,neutra
"1984 apresenta uma distopia onde o mundo fora dividido em 3 grandes estados: a Oceania, a Lestasia e a Eurasia.",,objetiva,neutra
"O Partido é o governo de Oceania e partilha dos seguintes lemas: ""Guerra é paz, Liberdade é escravidão e Ignorância é forca"".",,objetiva,neutra
"Em meio a fatos históricos ocultos e extremismo religioso, Robert e Ambra precisam escapar de um inimigo com poder que parece emanar do Palácio Real da Espanha.",,objetiva,neutra
"O Duplipensamento, um método responsável pelo autoconvencimento de que seu raciocínio esta errado e o que vale é a diretriz imposta pelo partido.",,objetiva,neutra
"Numa pequena cidade da Flórida, o advogado Keith Russo é morto a tiros em seu escritório. O assassino não deixa pistas e não há testemunhas, mas a polícia logo suspeita de Quincy Miller, um jovem negro que já foi cliente de Keith.",,objetiva,neutra
"Guerra constante, falta de liberdade, onde pensar é crime, controle da mente, alteração do passado, incitação ao ódio etc.",,objetiva,neutra
"Em “1984” o passado é alterado e destruído constantemente, todos os meios de registros como: livros, quadros, estátuas, ruas, edifícios, músicas, fotografias e invenções",,objetiva,neutra
"Os escritores românticos, tanto da prosa quanto da poesia, assimilaram os ideais nacionalistas do romantismo europeu e os adaptaram as condições peculiares de nossa realidade.",,objetiva,neutra
"Certa noite, num supermercado de um bairro rico, Emira Tucker, uma jovem negra que trabalha como babá, é abordada por um segurança que a acusa de ter sequestrado Briar, a garotinha branca que está com ela. ",,objetiva,neutra
Martim é um guerreiro português que vive entre a tribo Pitiguara e tem a missão de fiscalizar a costa cearense contra as invasões estrangeiras.,,objetiva,neutra
"Cilka Klein tinha apenas dezesseis anos quando foi levada ao campo de concentração e extermínio de Auschwitz-Birkenau, em 1942.",,objetiva,neutra
" Pela proximidade de sua relação com o alto comando nazista, o exército russo classifica Cilka como “colaboradora”, e a ainda jovem é levada para uma brutal prisão soviética na Sibéria.",,objetiva,neutra
"Barry cai morto no chão, e sua morte é diagnosticada por aneurisma cerebral.",,objetiva,neutra
"Isso desencadeia uma série de problemas para o vilarejo de Pagford, pois com a morte de Barry, há uma vaga de conselheiro em aberto.",,objetiva,neutra
"É realmente uma estória sobre como são os seres humanos, como eles vivem em sociedade, e com suas famílias.",,objetiva,neutra
"O livro aborta muitos assuntos, dentre eles tem traição, violência, estupro, uso de drogas, depressão entre outros.",,objetiva,neutra
"É uma história adulta, contém palavrões, traição, drogas, estupro, violência doméstica além do cunho político que permeia a trama.",,objetiva,neutra
"No natal minha mãe me deu o livro em português, mas ainda estava lendo outro, assim que acabei eu peguei pra ler.",,objetiva,neutra
São três Marias que se conhecem no internato e vivem a transição da adolescência para fase adulta juntas.,,objetiva,neutra
"A beatitude de Maria José é resultado de uma vida difícil ao lado da mãe e irmãos, uma família destroçada pela inconsequência do pai e pela presença de uma amante.",,objetiva,neutra
"Maria da Glória é fruto da ausência familiar em decorrência da morte. Sem pai e mãe, procurou um casamento para formar sua família.",,objetiva,neutra
"Raquel Queiroz foi a primeira mulher a ocupar uma cadeira na Academia Brasileira de Letras, apenas em 1977",,objetiva,neutra
"A história de As Três Marias se passa, em grande parte, na cidade de Fortaleza, no Ceará, terra natal da escritora Rachel de Queiroz.",,objetiva,neutra
Vic e Melinda estão longe de ser um casal feliz ― seu casamento é mantido por um acordo nada convencional: Melinda pode ter quantos amantes quiser contanto que não arraste os dois e a filha para o caos de um divórcio.,,objetiva,neutra
O primeiro contato que tive com Rachel foi com a leitura de O Memorial de Maria Moura (há mais de quinze anos).,,objetiva,neutra
"Rachel de Queiroz foi a primeira mulher a ganhar o Prêmio Camões, em suas obras ela busca retratar a realidade social do povo nordestino, dando sempre ênfase as papel da mulher na sociedade.",,objetiva,neutra
"O tempo passa, o período no internato acaba e cada uma segue seu rumo, mas sempre próximas.",,objetiva,neutra
"Glória se casa e tem um filho, Maria José vai morar com a mãe e com os irmãos, leva uma vida mais regrada, voltada para a religião e se torna professora.",,objetiva,neutra
"Triste com os acontecimentos recentes, Guta passa as férias no Rio de Janeiro, conhece Isaac e se envolve com ele, tendo sua primeira noite de amor.",,objetiva,neutra
"Tudo parece bem, mas, com o passar do tempo, Vic começa a se incomodar com os homens escolhidos pela esposa e adota uma estratégia inusitada para afugentá-los, assumindo a autoria do assassinato de um deles.",,objetiva,neutra
"O início do livro traz um texto do Fábio Fernandes (tradutor) explicando ao leitor os motivos de terem usado determinados termos na tradução, e tentando deixar claro quão complexo as gírias são. ",,objetiva,neutra
"Quando Anthony Burgess escreveu essa obra, junto confeccionou um vasto vocabulário de gírias a serem usados pelos jovens na sua história.",,objetiva,neutra
"Kubrick, ao dirigir a obra para o cinema, baseou-se na edição norte-americana.",,objetiva,neutra
"O livro aborda diversos temas sociais, porém o racismo é o foco principal.",,objetiva,neutra
"Harper Lee aborda temas muito polêmicos, como o racismo e o Bullying, pelos olhos inocentes de uma criança de 7 anos. ",,objetiva,neutra
"O livro é contado pela voz de Jean Louise (Scout), alterando com um segundo narrador.",,objetiva,neutra
"A história criada por Harper Lee se passa em 1935, pouco após a Grande Depressão, uma época em que a discriminação racial era vista como algo perfeitamente normal.",,objetiva,neutra
O livro narra inicialmente a saga de João Romão rumo ao enriquecimento,,objetiva,neutra
" Para acumular capital, João Romão explora os empregados e se utiliza até do furto para conseguir atingir seus objetivos.",,objetiva,neutra
"Opera-se uma transformação no português trabalhador, que muda todos os seus hábitos",,objetiva,neutra
"o livro fala sobre conflitos que acontece em um cortiço.o cortiço é de João romão, que na base da exploração alheia enriquece",,objetiva,neutra
" Nele, o autor descreve as características da realidade de pessoas que fazem parte da camada mais humilde da sociedade: lavadeiras, imigrantes, prostitutas, pedreiros, etc.",,objetiva,neutra
Depois que o cortiço sofre um incêndio é reconstruído como uma vila,,objetiva,neutra
"fiel ao movimento naturalista, os instintos dos personagens se sobrepõem à razão individual e o homem torna-se fruto do meio onde vive ? fator que abala a integridade de qualquer um que no local habite.",,objetiva,neutra
Íris está se formando em Marketing Esportivo. Cheia de sonhos está pronta para lutar por seu lugar no mundo.,,objetiva,neutra
"Jason está a caminho da casa de Helena, quer resolver todas as pontas soltas do seu passado.",,objetiva,neutra
"Tudo levava a crer que a vida voltaria ao normal quando o verdadeiro assassino é descoberto, mas a revelação da mentira de Vic é o estopim de uma reviravolta nas convicções do próprio e nas relações que mantém com a comunidade, com os amigos e com Melinda e seus vários amantes. ",,objetiva,neutra
"Ele se desculpa e ela vai para casa, chegando em casa, descobre que o mesmo cara que esbarrou, está aguardando sua vizinha Helena.",,objetiva,neutra
"Colateral é o segundo volume da série dos Irmãos Willers, da autora Andt Collins, lançado pela The Gift Box Editora.",,objetiva,neutra
"Jason é o irmão mais novo, porém, sempre agiu como o mais velho por ser o responsável por gerenciar a carreira do irmão boxeador.",,objetiva,neutra
"Seu pai sequestrou a mãe dela, quando ela ainda era uma adolescente, e dois anos depois Helena nasceu e cresceu, isolada com os pais em um pântano",,objetiva,neutra
"Dois anos depois que mãe e filha foram resgatadas, Jacob foi preso e condenado e isso já faz treze anos.",,objetiva,neutra
Ela faz geleias e compotas para vender. Mas Helena nunca contou a verdade sobre seu pai para Stephen,,objetiva,neutra
"Como a narrativa mostra as lembranças da personagem principal aqui no presente, o livro praticamente não tem diálogos.",,objetiva,neutra
O livro tem poucos personagens. É basicamente Helena como a principal e seus pais como coadjuvantes.,,objetiva,neutra
"Uma muralha mágica então separa as espécies. Do lado feérico, mistério; do humano, apenas medo, desconfiança e dificuldade.",,objetiva,neutra
"Em uma cidadezinha costeira do estado americano do Maine, Evvie Drake raramente sai de sua casa, mesmo um ano após a morte do marido. ",,objetiva,neutra
"Uma caçada se inicia, e se Helena quiser proteger a si mesma e sua família ela terá que capturar seu pai, ou até mesmo matá-lo.",,objetiva,neutra
"Tudo começa quando Michael Berrett apresenta a Shirley Harrison um manuscrito com mais de 60 páginas contendo relatos que foram assinados por um dos mais famosos serial killers de todos os tempos: Jack, o Estripador.",,objetiva,neutra
"Maior parte do livro conta como a escritora conseguiu as informações do possível livro do Jack, a busca para decifrar se era real ou não, no final acaba que não se tem certeza.",,objetiva,neutra
"Jack matava apenas prostitutas. Ele as estrangulava, esfaqueava e mutilava, em ataques cada vez mais brutais.",,objetiva,neutra
"Como a única evidência contra Florie era seu adultério, ela foi libertada após 15 anos de prisão",,objetiva,neutra
James Maybrick vivia em Liverpool e trabalhava com o comércio de algodão. ,,objetiva,neutra
"O livro que inspirou o musical da Broadway sobre o personagem que estabeleceu os fundamentos da economia americana Inspiração para o musical de sucesso da Broadway, Alexander Hamilton é a primeira biografia completa de Hamilton em décadas.",,objetiva,neutra
O diário relata que Maybrick descobrira que a esposa estava se envolvendo com um amigo de família e que isso pode ter ocasionado sua raiva mais a punição.,,objetiva,neutra
"Falso ou não, o diário trás certa compatibilidade envolvendo todas as cinco vítimas confirmadas do Estripador",,objetiva,neutra
 É uma das vítimas que desperta maior curiosidade das pessoas; não sobrou nada da menina.,,objetiva,neutra
"Num mundo sem futuro ou esperança, Feyre, filha caçula de um mercador humano falido, se torna caçadora para sustentar a família.",,objetiva,neutra
"Após essas 300 páginas, temos o diário traduzido na íntegra, acompanhado de imagens da caligrafia e língua original.",,objetiva,neutra
"Depois que ele e sua esposa são assassinados, Ray Garrison é ressuscitado pela equipe de cientistas da Rising Spirit Technologies. ",,objetiva,neutra
"O tema ""Jack, O Estripador"" é um dos que mais chama atenção pela notoriedade do assassino, um criminoso brutal que nunca teve sua identidade revelada e pagou por seus crimes. ",,objetiva,neutra
"Foi um serial killer que agiu no distrito de Whitechapel em Londres no ano de 1888. Assassinou e mutilou cinco mulheres, ditas prostitutas.",,objetiva,neutra
Foi o primeiro serial killer a ganhar notoriedade na imprensa mundial e até hoje levanta teorias sobre sua verdadeira identidade.,,objetiva,neutra
